university,salary_grad5y,loc_per,male_per,ave_salary
华东交通大学,6701,15,65,8358.0
江西理工大学,6561,19,72,8037.0
绍兴文理学院,5674,30,43,6967.0
安徽工业大学,6526,24,72,7526.0
内蒙古大学,6360,31,48,8030.0
广东建设职业技术学院,5465,59,65,5392.0
南昌工程学院,6355,18,64,6723.0
山西建筑职业技术学院,5525,61,60,4969.0
上海海洋大学,6939,85,41,8363.0
南昌航空大学,6780,18,70,8013.0
上海大学,8474,93,45,10460.0
中国科学技术大学,9589,25,73,11715.0
中国农业大学,7322,62,47,10012.0
广西英华国际职业学院,-1,24,52,-1
重庆商务职业学院,-1,83,13,-1
西安科技大学高新学院,-1,65,60,-1
山西体育职业学院,3589,43,72,3357.0
广州东华职业学院,-1,57,-1,-1
民办明达职业技术学院,-1,30,61,-1
宁夏财经职业技术学院,3483,62,23,-1
上饶职业技术学院,5385,15,53,5385.0
湖南高速铁路职业技术学院,4261,24,58,-1
亳州职业技术学院,4435,25,48,3880.0
伊犁职业技术学院,-1,30,-1,-1
重庆艺术工程职业学院,-1,100,-1,-1
重庆公共运输职业学院,-1,100,-1,-1
银川能源学院,-1,47,65,-1
哈尔滨应用职业技术学院,4585,57,76,-1
包头铁道职业技术学院,-1,24,62,-1
盘锦职业技术学院,3696,37,33,-1
重庆建筑工程职业学院,-1,89,69,-1
山东师范大学历山学院,3024,48,38,-1
重庆邮电大学移通学院,3483,58,64,3735.0
福建生物工程职业技术学院,5385,51,43,-1
黑龙江煤炭职业技术学院,5385,21,72,-1
广西科技师范学院,3505,18,34,-1
安徽国际商务职业学院,3828,40,25,3597.0
安徽汽车职业技术学院,-1,51,96,-1
湖北工程学院新技术学院,4506,33,51,-1
柳州铁道职业技术学院,-1,23,53,-1
浙江东方职业技术学院,4342,34,53,-1
浙江邮电职业技术学院,5385,50,60,-1
太原旅游职业学院,4033,46,18,3483.0
贵州工业职业技术学院,-1,39,75,-1
广州华商职业学院,-1,51,60,-1
西南科技大学城市学院,-1,47,69,3077.0
六盘水职业技术学院,3935,27,52,-1
黑龙江工程学院昆仑旅游学院,3749,58,17,-1
伊春职业学院,4456,18,56,-1
湖南电气职业技术学院,3935,22,71,3536.0
湖北文理学院理工学院,5000,24,52,3231.0
鹤壁汽车工程职业学院,-1,33,-1,-1
云南国土资源职业学院,4342,60,65,-1
广州科技贸易职业学院,3803,68,51,-1
中国美术学院,8013,40,38,9103.0
金山职业技术学院,3803,25,59,-1
四川国际标榜职业学院,4541,67,29,3623.0
宁夏医科大学,4352,47,62,4774.0
新乡职业技术学院,4199,36,70,-1
临沂职业学院,-1,38,54,-1
湖南科技工业职业技术学院,4199,24,78,-1
云南工商学院,-1,50,-1,-1
宜春职业技术学院,3803,19,30,-1
郑州商贸旅游职业学院,-1,88,-1,-1
内蒙古机电职业技术学院,4032,29,78,4800.0
贵阳职业技术学院,-1,52,67,-1
西安海棠职业学院,4541,56,34,3935.0
武威职业学院,3841,15,60,-1
昭通学院,-1,100,-1,-1
江西农业工程职业学院,5862,23,54,-1
海南医学院,4862,41,47,6279.0
黔南民族职业技术学院,3547,19,43,-1
聊城大学东昌学院,-1,22,41,-1
辽宁职业学院,3483,48,50,3589.0
天门职业学院,-1,33,-1,-1
浙江树人学院,-1,42,-1,-1
阜阳科技职业学院,5385,21,53,-1
铜川职业技术学院,4034,57,68,-1
新疆艺术学院,5268,20,48,5288.0
西安高新科技职业学院,4342,52,54,-1
益阳职业技术学院,4603,24,44,-1
三峡旅游职业技术学院,-1,27,28,-1
贵州职业技术学院,4195,45,60,-1
韩山师范学院,5136,32,40,5714.0
湖南九嶷职业技术学院,-1,27,32,-1
上海民航职业技术学院,-1,88,-1,-1
巴音郭楞职业技术学院,-1,30,54,-1
德宏职业学院,-1,100,-1,-1
太湖创意职业技术学院,-1,55,53,-1
苏州卫生职业技术学院,5325,40,11,-1
江苏农牧科技职业学院,-1,19,43,-1
北京北大方正软件职业技术学院,-1,64,-1,-1
锡林郭勒职业学院,3803,23,44,-1
新疆能源职业技术学院,-1,27,-1,-1
新疆石河子职业技术学院,5385,17,54,-1
山西运城农业职业技术学院,3547,24,60,-1
长垣烹饪职业技术学院,-1,42,-1,-1
鹰潭职业技术学院,5195,22,46,-1
河南推拿职业学院,-1,35,60,-1
安徽人口职业学院,-1,100,-1,-1
德州职业技术学院,3643,21,58,3696.0
眉山职业技术学院,3853,59,42,3590.0
云南林业职业技术学院,5595,75,48,-1
江汉大学文理学院,3455,62,42,5000.0
天津国土资源和房屋职业学院,3643,70,36,3452.0
衢州职业技术学院,4991,45,44,-1
潞安职业技术学院,5002,26,62,-1
泉州轻工职业学院,-1,38,-1,-1
宁夏司法警官职业学院,4199,36,59,-1
宁夏工业职业学院,4648,33,76,-1
大同煤炭职业技术学院,-1,23,68,-1
郑州信息科技职业学院,4792,57,57,-1
河南理工大学万方科技学院,4393,34,56,-1
中山火炬职业技术学院,5385,30,58,3869.0
山东司法警官职业学院,4187,68,36,-1
甘肃机电职业技术学院,-1,19,81,-1
运城护理职业学院,-1,100,-1,-1
内蒙古体育职业学院,5314,30,35,-1
河南艺术职业学院,-1,60,40,-1
广西城市职业学院,4254,24,61,-1
内蒙古科技职业学院,-1,32,40,-1
湖北汽车工业学院科技学院,5518,25,72,-1
广西外国语学院,-1,21,-1,-1
重庆交通职业学院,-1,94,52,-1
青海卫生职业技术学院,3803,45,12,-1
中山职业技术学院,5385,42,61,-1
三亚理工职业学院,-1,32,53,-1
杭州科技职业技术学院,5025,75,57,-1
马鞍山职业技术学院,-1,20,50,-1
郑州电力职业技术学院,3709,40,71,3622.0
江西青年职业学院,4217,17,35,-1
泊头职业学院,-1,43,36,-1
昌吉职业技术学院,3881,28,54,-1
四川华新现代职业学院,4194,79,36,-1
大连装备制造职业技术学院,-1,40,88,-1
三峡大学科技学院,4791,20,52,4166.0
开封文化艺术职业学院,-1,35,32,-1
陕西艺术职业学院,-1,50,-1,-1
重庆水利电力职业技术学院,5415,73,71,-1
广西科技职业学院,-1,30,-1,-1
贵州航天职业技术学院,4737,15,65,-1
新疆农业职业技术学院,3773,24,41,-1
山西金融职业学院,3547,58,24,3676.0
四川文化艺术学院,-1,21,39,-1
厦门华天涉外职业技术学院,3749,42,50,-1
四川司法警官职业学院,3826,60,47,-1
郑州理工职业学院,-1,56,60,-1
广东食品药品职业学院,4355,63,41,3803.0
民办安徽旅游职业学院,-1,100,-1,-1
红河学院,3996,36,52,-1
上海工会管理职业学院,4277,95,28,3946.0
青海民族大学,4429,15,55,4507.0
长白山职业技术学院,-1,47,18,-1
湖北大学知行学院,5000,54,32,3362.0
西南交通大学希望学院,-1,61,39,-1
安顺职业技术学院,4199,22,49,-1
辽宁理工职业学院,-1,46,25,-1
闽北职业技术学院,5805,25,46,-1
保山学院,-1,35,-1,-1
巴中职业技术学院,-1,52,-1,-1
青岛工学院,-1,31,57,-1
云南艺术学院,4723,48,44,4621.0
甘肃畜牧工程职业技术学院,3775,17,87,-1
海南政法职业学院,3483,18,49,-1
浙江体育职业技术学院,-1,50,70,-1
江西冶金职业技术学院,5862,15,75,-1
玉溪师范学院,3766,36,47,-1
郑州信息工程职业学院,-1,55,43,-1
民办合肥经济技术职业学院,-1,66,-1,-1
嵩山少林武术职业学院,3483,36,45,-1
兰州资源环境职业技术学院,3589,36,60,-1
伊犁师范学院,4159,18,35,-1
长江大学文理学院,5527,21,31,5000.0
云南工程职业学院,-1,67,62,-1
江西警察学院,-1,47,-1,-1
临汾职业技术学院,3696,30,57,-1
福建水利电力职业技术学院,4355,36,80,-1
辽宁现代服务职业技术学院,-1,70,16,-1
广州科技职业技术学院,4804,59,62,3788.0
石家庄科技信息职业学院,6401,36,52,-1
广西现代职业技术学院,-1,27,62,-1
广西工程职业学院,-1,17,75,-1
菏泽职业学院,-1,17,77,-1
四川城市职业学院,-1,80,43,-1
沈阳工学院,3077,49,55,3077.0
重庆师范大学涉外商贸学院,4583,53,30,3357.0
四川传媒学院,4581,41,39,4540.0
宿迁职业技术学院,4330,25,76,-1
山东理工职业学院,4208,23,48,-1
湘西民族职业技术学院,5025,21,36,-1
百色学院,-1,22,51,-1
湖北师范学院文理学院,3231,28,27,3231.0
合肥信息技术职业学院,3589,42,46,-1
榆林职业技术学院,-1,50,-1,-1
苏州高博软件技术职业学院,-1,54,71,-1
菏泽家政职业学院,-1,32,22,-1
赣西科技职业学院,5832,14,61,-1
盐城工业职业技术学院,-1,21,50,-1
福建体育职业技术学院,-1,46,70,-1
江门职业技术学院,3803,33,60,-1
济南大学泉城学院,3000,53,47,3077.0
石家庄工商职业学院,4793,33,46,-1
武汉科技大学城市学院,4804,47,45,5512.0
铜仁职业技术学院,3828,23,45,-1
重庆海联职业技术学院,3957,72,46,-1
陕西电子信息职业技术学院,3612,54,63,3483.0
新疆建设职业技术学院,4103,44,61,-1
白城职业技术学院,-1,56,54,-1
信阳师范学院华锐学院,5000,33,42,3077.0
泉州经贸职业技术学院,4414,24,26,-1
辽宁传媒学院,3643,52,44,3710.0
湖南铁路科技职业技术学院,3721,25,49,3696.0
四川文轩职业学院,-1,75,-1,-1
商洛职业技术学院,3560,50,52,-1
河北科技学院,-1,55,84,-1
四川科技职业学院,4805,71,56,-1
广西经济职业学院,-1,33,56,-1
四川工商学院,5416,66,50,4663.0
辽宁理工学院,3332,44,28,3100.0
四川卫生康复职业学院,-1,46,20,-1
承德护理职业学院,-1,66,11,-1
四川大学锦江学院,-1,64,51,3451.0
广西经贸职业技术学院,3721,35,32,-1
廊坊东方职业技术学院,-1,61,44,-1
鄂州职业大学,4999,20,59,-1
湖北民族学院科技学院,4518,18,46,-1
安徽审计职业学院,3997,50,36,-1
广西理工职业技术学院,-1,30,81,-1
云南警官学院,4374,57,52,-1
宁夏建设职业技术学院,5385,60,72,5385.0
甘肃农业职业技术学院,-1,48,33,-1
塔里木大学,4729,19,60,5385.0
江西枫林涉外经贸职业学院,-1,17,47,-1
西藏藏医学院,-1,50,-1,-1
重庆大学城市科技学院,-1,58,54,-1
黑龙江三江美术职业学院,6313,38,46,-1
重庆电讯职业学院,-1,73,72,-1
武汉科技职业学院,4330,38,46,3935.0
重庆经贸职业学院,-1,80,-1,-1
厦门软件职业技术学院,4199,58,65,-1
安徽涉外经济职业学院,-1,41,40,-1
武汉东湖学院,5595,50,55,-1
运城职业技术学院,-1,27,77,-1
大连软件职业学院,4199,55,53,-1
安徽文达信息工程学院,-1,40,-1,-1
北京警察学院,-1,78,92,-1
辽宁体育运动职业技术学院,-1,70,-1,-1
许昌陶瓷职业学院,-1,33,-1,-1
湖北医药学院药护学院,-1,21,29,-1
安徽艺术职业学院,4644,46,35,-1
漯河食品职业学院,3483,41,39,-1
浙江农业商贸职业学院,-1,20,-1,-1
郑州工业安全职业学院,5595,45,88,3452.0
辽宁政法职业学院,-1,100,-1,-1
广州现代信息工程职业技术学院,4792,70,61,-1
广东创新科技职业学院,-1,50,-1,-1
云南司法警官职业学院,3643,69,73,-1
厦门东海职业技术学院,3828,44,48,-1
江西艺术职业学院,4089,13,33,-1
江西制造职业技术学院,4223,26,77,3568.0
广东科技学院,-1,19,-1,-1
燕京理工学院,5000,59,44,5402.0
铜仁学院,-1,19,52,-1
重庆传媒职业学院,-1,66,36,-1
浙江工贸职业技术学院,4807,33,49,-1
枣庄职业学院,3720,40,75,-1
山东海事职业学院,-1,11,-1,-1
玉溪农业职业技术学院,3483,58,30,-1
嘉兴南洋职业技术学院,4599,41,65,-1
广州城建职业学院,-1,59,66,-1
重庆青年职业技术学院,3707,83,42,-1
山西药科职业学院,-1,51,49,-1
云南经贸外事职业学院,-1,75,45,-1
四川三河职业学院,-1,20,-1,-1
驻马店职业技术学院,5004,31,38,-1
西藏大学,5371,29,63,4175.0
克拉玛依职业技术学院,4264,21,77,-1
浙江艺术职业学院,4991,68,39,-1
武汉城市职业学院,-1,62,40,-1
鄂尔多斯职业学院,-1,29,-1,-1
温州医科大学,5683,31,46,7093.0
西安城市建设职业学院,4063,46,49,-1
重庆化工职业学院,-1,69,50,-1
厦门安防科技职业学院,-1,50,-1,-1
兴义民族师范学院,-1,61,-1,-1
珠海城市职业技术学院,3894,45,51,-1
石家庄财经职业学院,-1,32,31,-1
江汉艺术职业学院,5385,19,41,-1
武昌理工学院,5000,48,47,-1
苏州信息职业技术学院,-1,47,59,-1
湖南工商职业学院,4199,24,51,-1
柳州城市职业学院,3483,21,61,-1
长春东方职业学院,4361,57,40,-1
云南文化艺术职业学院,-1,78,35,-1
昆明工业职业技术学院,5258,70,67,-1
江苏食品药品职业技术学院,-1,26,37,-1
宁夏职业技术学院,4067,54,49,-1
山东商务职业学院,4137,36,33,3803.0
朔州职业技术学院,-1,24,63,-1
成都艺术职业学院,5385,72,42,3721.0
重庆人文科技学院,4647,33,46,4621.0
忻州职业技术学院,3715,39,54,-1
四川大学锦城学院,5000,74,46,5625.0
广东环境保护工程职业学院,-1,40,53,-1
重庆房地产职业学院,3828,89,54,-1
大兴安岭职业学院,3976,26,36,-1
广东理工职业学院,5385,45,49,-1
中国石油大学胜利学院,6641,23,60,-1
石家庄理工职业学院,5385,33,63,-1
滇西科技师范学院,3483,59,40,-1
贵阳护理职业学院,-1,61,26,-1
山西应用科技学院,3505,45,49,-1
漳州卫生职业学院,3589,37,24,-1
乌海职业技术学院,-1,18,59,-1
三明职业技术学院,5385,27,47,-1
山西水利职业技术学院,4330,28,80,3803.0
泰山职业技术学院,4257,19,49,3749.0
福建华南女子职业学院,3696,65,0,3483.0
云南交通职业技术学院,4532,76,52,-1
江西陶瓷工艺美术职业技术学院,4851,14,48,4723.0
浙江汽车职业技术学院,-1,36,87,-1
安阳职业技术学院,-1,36,53,-1
普洱学院,-1,100,-1,-1
宁德职业技术学院,-1,35,66,-1
云南新兴职业学院,-1,77,39,-1
漳州城市职业学院,4434,25,22,-1
合肥职业技术学院,4997,24,40,-1
延安职业技术学院,3483,42,64,-1
广东文理职业学院,-1,38,58,-1
黑龙江粮食职业学院,-1,58,32,-1
晋城职业技术学院,3721,27,44,-1
江西工程职业学院,5430,20,59,-1
重庆安全技术职业学院,-1,50,-1,-1
温州科技职业学院,-1,29,41,-1
黄山职业技术学院,-1,33,-1,-1
凯里学院,-1,16,62,-1
宁夏师范学院,-1,32,55,-1
宁夏理工学院,7000,8,73,6731.0
湖南软件职业学院,5786,28,62,4928.0
湖北青年职业学院,-1,53,45,-1
厦门演艺职业学院,6998,27,43,-1
辽宁建筑职业学院,-1,46,68,-1
喀什大学,4330,28,41,-1
江西环境工程职业学院,4474,22,56,4020.0
郑州升达经贸管理学院,4206,66,31,-1
洛阳职业技术学院,-1,32,70,-1
上海体育学院,6945,65,54,8060.0
绍兴职业技术学院,4163,46,51,-1
郑州成功财经学院,-1,46,40,3104.0
徽商职业学院,-1,57,31,-1
陕西工商职业学院,-1,76,33,-1
宁夏民族职业技术学院,3643,32,57,-1
上海中医药大学,7166,85,31,7125.0
河北劳动关系职业学院,-1,41,40,-1
山西轻工职业技术学院,5385,53,68,-1
河南师范大学新联学院,3243,35,24,3315.0
湖南邮电职业技术学院,-1,29,55,-1
宁夏工商职业技术学院,3483,51,46,-1
内蒙古警察职业学院,4462,21,68,-1
云南机电职业技术学院,3643,70,71,4223.0
黑龙江艺术职业学院,6072,46,41,-1
山西老区职业技术学院,-1,42,21,-1
扬州市职业大学,4591,18,41,-1
云南体育运动职业技术学院,-1,63,73,-1
江南影视艺术职业学院,4602,20,47,-1
浙江同济科技职业学院,-1,63,68,-1
科尔沁艺术职业学院,-1,40,47,-1
长春大学旅游学院,5249,32,25,3357.0
江西工商职业技术学院,-1,42,-1,-1
北京社会管理职业学院,-1,92,31,-1
成都信息工程大学银杏酒店管理学院,3488,68,33,5000.0
阿克苏职业技术学院,-1,21,43,-1
哈尔滨华德学院,-1,50,59,-1
青海师范大学,4729,18,42,4175.0
甘肃钢铁职业技术学院,-1,23,80,-1
内蒙古北方职业技术学院,-1,31,31,-1
青海畜牧兽医职业技术学院,-1,41,31,-1
济南护理职业学院,-1,86,-1,-1
大连航运职业技术学院,-1,42,88,-1
广东青年职业学院,-1,77,36,-1
山西经贸职业学院,-1,60,23,-1
石家庄经济职业学院,4702,36,30,-1
郑州城市职业学院,-1,60,62,-1
天津广播影视职业学院,-1,71,25,-1
泉州信息工程学院,5385,21,59,-1
湖南体育职业学院,4329,40,76,-1
贵州工商职业学院,-1,33,-1,-1
哈尔滨广厦学院,3749,50,36,4100.0
包头钢铁职业技术学院,5385,39,70,-1
贵州交通职业技术学院,4277,42,77,-1
重庆城市职业学院,4724,67,47,3589.0
新疆天山职业技术学院,3803,61,43,-1
襄阳汽车职业技术学院,-1,66,-1,-1
毕节职业技术学院,-1,20,-1,-1
广东亚视演艺职业学院,4723,23,34,-1
浙江警察学院,-1,60,-1,-1
三亚城市职业学院,3483,23,45,-1
汉中职业技术学院,4321,56,33,-1
云南三鑫职业技术学院,-1,28,-1,-1
宿迁泽达职业技术学院,-1,26,-1,-1
江西生物科技职业学院,4594,21,52,-1
海南软件职业技术学院,4223,15,73,4223.0
哈尔滨科学技术职业学院,-1,51,40,-1
湖北生态工程职业技术学院,3803,44,40,3494.0
河南化工职业学院,-1,58,55,-1
吉林城市职业技术学院,-1,100,-1,-1
甘肃林业职业技术学院,3869,21,49,-1
安徽林业职业技术学院,4257,50,38,3721.0
山西电力职业技术学院,4236,43,68,3483.0
安徽矿业职业技术学院,-1,33,63,-1
南京视觉艺术职业学院,-1,45,52,-1
青岛农业大学海都学院,3375,36,47,-1
武夷山职业学院,-1,32,43,-1
冀中职业学院,-1,50,56,-1
电子科技大学成都学院,5019,62,70,5158.0
云南旅游职业学院,-1,80,-1,-1
西双版纳职业技术学院,-1,42,28,-1
黔西南民族职业技术学院,-1,32,52,-1
大连枫叶职业技术学院,-1,59,37,-1
廊坊卫生职业学院,-1,83,-1,-1
甘肃民族师范学院,-1,20,-1,-1
信阳涉外职业技术学院,-1,100,-1,-1
焦作工贸职业学院,-1,53,-1,-1
抚州职业技术学院,3803,23,54,-1
东莞职业技术学院,-1,66,60,-1
湖南高尔夫旅游职业学院,-1,30,-1,-1
漳州理工职业学院,-1,36,65,-1
三峡电力职业学院,-1,17,72,-1
云南城市建设职业学院,-1,80,73,-1
河南水利与环境职业学院,5805,67,57,-1
呼和浩特民族学院,-1,56,-1,-1
四川汽车职业技术学院,-1,31,71,-1
集宁师范学院,-1,30,24,-1
哈尔滨传媒职业学院,-1,75,-1,-1
山东服装职业学院,3935,17,26,3894.0
辽宁铁道职业技术学院,-1,59,68,-1
河南林业职业学院,-1,44,-1,-1
蚌埠经济技术职业学院,4427,24,41,-1
辽宁冶金职业技术学院,-1,47,-1,-1
北海艺术设计学院,5805,49,44,-1
沈阳城市建设学院,5000,69,59,-1
商丘学院,-1,26,63,-1
黔东南民族职业技术学院,5385,24,32,-1
哈尔滨江南职业技术学院,-1,43,48,-1
大连科技学院,-1,26,58,-1
烟台汽车工程职业学院,-1,43,85,-1
河北司法警官职业学院,4342,31,42,4001.0
广东体育职业技术学院,4976,64,86,-1
南阳职业学院,-1,35,-1,-1
上海电影艺术职业学院,5805,82,42,5436.0
石家庄科技职业学院,-1,40,43,-1
上海震旦职业学院,4462,95,38,4087.0
西安汽车科技职业学院,5805,49,94,-1
天津铁道职业技术学院,4334,76,41,3483.0
山西管理职业学院,4434,33,35,-1
泉州工艺美术职业学院,-1,40,-1,-1
山西林业职业技术学院,4012,52,36,-1
河南机电职业学院,-1,51,65,-1
潍坊护理职业学院,-1,50,-1,-1
郑州黄河护理职业学院,3921,58,62,-1
桂林医学院,4869,15,44,4915.0
江苏建康职业学院,4937,44,16,-1
泉州纺织服装职业学院,4997,18,30,4997.0
贵州电力职业技术学院,3696,35,57,-1
湖州师范学院,5346,37,42,6178.0
汉口学院,4352,50,43,-1
兰州外语职业学院,3589,41,53,-1
广西卫生职业技术学院,-1,62,34,-1
湖北工程学院,5534,24,46,6227.0
苏州工业园区服务外包职业学院,-1,81,51,-1
大连财经学院,3538,32,35,3277.0
湖北科技职业学院,4585,51,50,-1
西安交通工程学院,3749,56,43,-1
铁岭卫生职业学院,-1,47,-1,-1
宁波卫生职业技术学院,-1,36,25,-1
天津公安警官职业学院,4541,46,44,-1
福州英华职业学院,3625,73,33,3452.0
梧州职业学院,-1,22,85,-1
西安东方亚太职业技术学院,-1,64,66,-1
枣庄科技职业学院,3667,14,58,-1
甘肃警察职业学院,4072,42,67,-1
七台河职业学院,3483,15,72,-1
齐齐哈尔理工职业学院,-1,33,-1,-1
台州科技职业学院,5385,36,37,-1
合肥科技职业学院,-1,26,-1,-1
泉州华光职业学院,-1,42,-1,-1
河池学院,5124,28,57,3908.0
重庆财经职业学院,3983,69,22,3536.0
昆明卫生职业学院,-1,100,-1,-1
苏州港大思培科技职业学院,-1,57,38,-1
青岛理工大学琴岛学院,5000,47,51,4001.0
延边职业技术学院,-1,50,-1,-1
长沙电力职业技术学院,4034,44,63,3483.0
重庆电信职业学院,-1,100,-1,-1
内蒙古商贸职业学院,3892,29,24,3773.0
海南科技职业学院,-1,26,68,-1
四平职业大学,5929,45,43,-1
右江民族医学院,3946,25,30,-1
辽宁工程职业学院,-1,28,74,-1
北京戏曲艺术职业学院,-1,81,31,-1
安徽扬子职业技术学院,-1,50,-1,-1
辽宁装备制造职业技术学院,3483,69,66,-1
辽宁城市建设职业技术学院,-1,77,77,-1
吉林化工学院,5255,22,62,5660.0
仙桃职业学院,4342,21,44,-1
广州松田职业学院,-1,59,51,-1
文山学院,-1,47,-1,-1
渭南职业技术学院,3589,54,18,-1
海南工商职业学院,-1,28,59,-1
中原工学院信息商务学院,4166,49,46,4908.0
湖北国土资源职业学院,5355,19,63,3643.0
厦门城市职业学院,4195,67,33,-1
陕西旅游烹饪职业学院,3803,52,62,-1
云南能源职业技术学院,4199,44,71,-1
山东警察学院,-1,24,-1,-1
广安职业技术学院,4494,53,38,-1
泰山护理职业学院,-1,30,-1,-1
贵州轻工职业技术学院,3892,47,51,-1
新疆现代职业技术学院,-1,40,20,-1
桂林山水职业学院,4198,24,43,-1
广东文艺职业学院,4996,67,45,5035.0
甘肃交通职业技术学院,4226,42,63,3643.0
安阳师范学院人文管理学院,3238,31,35,-1
合肥共达职业技术学院,-1,42,82,-1
广西艺术学院,5987,27,41,6258.0
泉州理工职业学院,3483,21,46,-1
辽宁地质工程职业学院,-1,33,65,-1
河南农业职业学院,4170,53,50,3357.0
廊坊燕京职业技术学院,-1,50,-1,-1
黑龙江职业学院,5716,51,36,-1
晋中职业技术学院,4194,34,51,-1
大连汽车职业技术学院,-1,57,63,-1
宣化科技职业学院,-1,51,40,-1
广西工商职业技术学院,3736,42,29,3399.0
安康职业技术学院,3536,35,31,-1
广东科贸职业学院,3696,65,46,3585.0
四川现代职业学院,-1,78,40,-1
遵义师范学院,4184,17,46,5000.0
呼伦贝尔职业技术学院,-1,28,-1,-1
河南工业和信息化职业学院,4432,39,72,-1
黄冈科技职业学院,4308,20,53,-1
福建艺术职业学院,-1,54,30,-1
长春科技学院,3404,27,42,3881.0
四川长江职业学院,-1,79,53,-1
兴安职业技术学院,3803,29,57,-1
百色职业学院,-1,26,70,-1
民办四川天一学院,4092,69,38,-1
山西警官职业学院,4295,51,50,-1
武汉外语外事职业学院,-1,45,18,-1
皖南医学院,5923,17,58,5715.0
天津艺术职业学院,4199,63,23,-1
赣南医学院,5409,12,51,5408.0
应天职业技术学院,3643,65,53,-1
潍坊工程职业学院,-1,24,44,-1
长春信息技术职业学院,3483,49,37,3647.0
广州华夏职业学院,-1,58,68,-1
重庆能源职业学院,-1,86,63,-1
吉林铁道职业技术学院,4751,47,46,-1
安徽现代信息工程职业学院,-1,35,54,-1
泉州海洋职业学院,-1,50,-1,-1
哈尔滨剑桥学院,-1,56,41,-1
武汉体育学院体育科技学院,-1,51,65,3344.0
四川文化传媒职业学院,3803,72,32,-1
广州体育职业技术学院,-1,67,71,-1
山西华澳商贸职业学院,-1,39,80,-1
内蒙古丰州职业学院,-1,34,32,-1
周口科技职业学院,-1,35,65,-1
佳木斯职业学院,-1,24,57,-1
湖南有色金属职业技术学院,-1,33,-1,-1
青海建筑职业技术学院,5595,35,59,-1
通辽职业学院,4001,24,25,-1
北京中医药大学东方学院,3572,42,36,3904.0
江苏城市职业学院,4223,28,43,-1
浙江越秀外国语学院,-1,31,19,-1
