university,wb_cnt_since2015,ret_cnt,like_cnt,cmt_cnt
中国人民大学,3740,53.402941,68.509358,30.092246
北京协和医学院,18,3.611111,1.888889,1.0
北京师范大学,20,21.5,21.5,7.85
中国传媒大学,12,54.416667,113.833333,30.833333
外交学院,1180,39.069492,67.515254,35.126271
中央戏剧学院,17,84.882353,401.117647,89.235294
中华女子学院,19,4.842105,4.0,2.631579
中国地质大学北京,14,1.5,0.571429,0.642857
中国青年政治学院,19,8.105263,1.684211,3.421053
北京工业大学耿丹学院,33,0.818182,0.393939,2.030303
北京交通职业技术学院,142,0.725352,1.119718,1.140845
北京科技经营管理学院,23,0.695652,0.043478,2.391304
北京交通运输职业学院,29,2.310345,0.0,1.551724
天津理工大学,8,2.25,0.125,2.875
天津职业技术师范大学,15,0.066667,0.0,1.6
天津美术学院,8,0.875,0.0,1.0
天津师范大学津沽学院,387,1.062016,2.521964,1.793282
天津市职业大学,5,1.0,0.0,1.6
天津轻工职业技术学院,24,0.0,0.0,0.583333
天津交通职业学院,12,0.083333,0.0,2.333333
天津城市建设管理职业技术学院,36,0.111111,0.0,0.444444
华北理工大学,2004,4.99501,25.326846,9.027445
衡水学院,13,0.692308,0.0,1.230769
河北科技学院,666,19.418919,13.95045,27.219219
河北工程大学科信学院,10,0.2,1.0,3.1
河北农业大学现代科技学院,43,1.372093,0.348837,1.093023
中国地质大学长城学院,16,0.25,0.0,1.6875
河北工程技术高等专科学校,34,0.0,0.0,0.294118
承德石油高等专科学校,3,0.0,0.0,2.666667
石家庄工商职业学院,196,0.571429,0.704082,0.561224
河北司法警官职业学院,86,3.627907,1.744186,1.662791
河北女子职业技术学院,11,22.636364,0.0,9.272727
石家庄医学高等专科学校,11,0.0,0.0,0.909091
石家庄经济职业学院,1,0.0,1.0,0.0
冀中职业学院,6,0.166667,0.166667,2.166667
保定幼儿师范高等专科学校,25,0.64,1.4,1.0
太原科技大学,12,3.5,2.25,1.916667
长治医学院,20,1.35,1.5,2.65
山西大同大学,20,2.75,1.6,4.95
吕梁学院,18,3.277778,0.277778,3.611111
山西农业大学信息学院,13,2.538462,0.384615,3.153846
山西工商学院,478,1.451883,5.456067,2.39749
山西艺术职业学院,17,1.117647,3.941176,2.0
山西交通职业技术学院,70,1.2,0.3,2.071429
山西林业职业技术学院,3,0.333333,0.0,2.0
忻州职业技术学院,74,0.675676,1.0,1.824324
通辽职业学院,104,0.663462,5.923077,2.086538
内蒙古能源职业学院,7,2.285714,7.571429,7.857143
赤峰工业职业技术学院,1,0.0,0.0,0.0
辽宁地质工程职业学院,169,12.982249,1.727811,0.366864
大连装备制造职业技术学院,17,1.352941,0.058824,1.235294
辽宁工程职业学院,1,0.0,0.0,0.0
铁岭卫生职业学院,3,0.0,0.0,0.0
延边大学,967,2.262668,9.539814,3.779731
吉林农业大学,9,0.0,0.666667,0.0
通化师范学院,7,0.0,0.142857,0.0
白城师范学院,16,0.5625,1.875,0.875
吉林华桥外国语学院,13,1.461538,1.923077,3.384615
长春光华学院,21,1.380952,0.857143,1.190476
吉林建筑大学城建学院,47,1.446809,0.617021,2.489362
长春汽车工业高等专科学校,171,1.573099,2.590643,3.883041
黑龙江外国语学院,436,1.873853,7.428899,2.548165
黑龙江工商学院,2,0.0,0.0,3.0
黑龙江艺术职业学院,79,4.265823,6.873418,2.253165
黑龙江司法警官职业学院,30,0.233333,0.166667,1.566667
黑龙江生物科技职业学院,63,0.777778,0.904762,1.968254
黑龙江公安警官职业学院,11,1.363636,0.090909,4.181818
黑龙江信息技术职业学院,14,0.357143,0.0,1.214286
黑龙江农垦科技职业学院,5,0.2,0.0,1.4
黑龙江旅游职业技术学院,25,0.68,0.0,1.32
黑龙江生态工程职业学院,7,0.0,0.0,0.142857
黑龙江护理高等专科学校,74,0.959459,1.351351,1.297297
上海民远职业技术学院,22,1.227273,0.090909,2.909091
上海济光职业技术学院,18,0.111111,0.0,3.722222
上海中侨职业技术学院,12,0.25,0.0,3.666667
上海中华职业技术学院,31,0.677419,0.064516,3.322581
上海健康职业技术学院,13,0.615385,0.0,1.0
苏州大学,12,27.083333,0.083333,10.583333
南京工业大学,27,11.148148,0.0,2.62963
江南大学,17,5.470588,0.0,6.470588
盐城工学院,695,2.889209,8.388489,4.040288
江苏师范大学,11,8.090909,4.727273,3.363636
南京财经大学,14,20.714286,122.642857,27.428571
苏州科技学院,17,1.823529,3.941176,2.705882
常州工学院,15,3.4,3.333333,2.866667
南京工程学院,19,8.157895,3.052632,5.0
淮海工学院,801,2.564295,4.700375,2.380774
泰州学院,10,2.4,2.8,1.1
中国矿业大学徐海学院,11,0.181818,1.818182,0.636364
中国传媒大学南广学院,17,21.529412,33.647059,16.588235
南京师范大学中北学院,14,1.0,1.5,1.214286
苏州大学文正学院,9,2.222222,2.666667,3.222222
扬州大学广陵学院,30,8.866667,2.166667,5.633333
南京财经大学红山学院,967,0.810755,1.552223,0.23061
南通大学杏林学院,9,0.444444,1.555556,1.555556
宿迁学院,20,6.35,2.6,7.0
江苏第二师范学院,13,4.615385,3.076923,3.076923
昆山杜克大学,19,2.631579,1.684211,2.947368
无锡职业技术学院,38,4.605263,3.5,3.605263
南京工业职业技术学院,344,6.892442,11.898256,11.125
沙洲职业工学院,64,0.71875,1.484375,0.671875
九州职业技术学院,98,1.163265,0.285714,1.163265
江苏海事职业技术学院,12,0.0,0.0,1.583333
钟山职业技术学院,54,0.574074,1.888889,0.907407
江南影视艺术职业学院,60,0.45,0.333333,0.766667
金肯职业技术学院,44,0.25,0.022727,3.068182
常州轻工职业技术学院,2,1.0,0.0,6.5
江苏农林职业技术学院,12,1.583333,0.0,1.333333
无锡城市职业技术学院,367,0.174387,0.828338,0.316076
苏州健雄职业技术学院,1,0.0,0.0,0.0
扬州工业职业技术学院,18,3.166667,2.555556,25.888889
苏州港大思培科技职业学院,15,2.066667,1.0,1.4
南京视觉艺术职业学院,22,2.363636,0.0,4.181818
宁波职业技术学院,254,3.074803,7.027559,3.295276
台州职业技术学院,43,0.837209,1.767442,1.046512
浙江艺术职业学院,10,1.0,1.2,1.0
浙江警官职业学院,15,3.866667,1.4,3.666667
湖州职业技术学院,20,2.55,1.75,1.9
浙江纺织服装职业技术学院,21,4.047619,0.333333,1.619048
宁波卫生职业技术学院,17,37.235294,1.705882,9.705882
福建幼儿师范高等专科学校,437,2.816934,2.844394,1.187643
漳州科技职业学院,47,0.829787,1.744681,0.617021
泉州工程职业技术学院,20,1.65,1.15,4.15
赣南医学院,1018,0.863458,3.156189,1.746562
萍乡学院,427,1.023419,3.367681,2.117096
江西工程学院,387,4.511628,8.498708,4.299742
江西理工大学应用科学学院,811,0.212084,1.178792,0.389642
江西医学高等专科学校,1980,0.141414,0.857071,0.147475
江西建设职业技术学院,524,0.40458,1.772901,1.003817
江西新能源科技职业学院,1604,0.113466,1.057357,0.195761
济南大学,1305,10.327203,15.478927,13.96092
山东财经大学东方学院,168,1.208333,3.017857,2.422619
山东农业大学,1543,2.353856,21.193778,7.168503
德州学院,767,4.074316,8.157757,4.578879
济宁学院,644,1.649068,9.687888,3.215839
青岛大学,1155,9.782684,19.938528,6.576623
山东英才学院,2427,2.858261,3.237742,1.772971
山东农业工程学院,169,1.213018,4.16568,1.863905
青岛职业技术学院,157,1.847134,8.936306,2.312102
济宁职业技术学院,165,1.224242,3.727273,2.139394
山东服装职业学院,103,0.961165,2.300971,2.009709
青岛酒店管理职业技术学院,61,0.770492,6.213115,3.901639
山东工业职业学院,63,1.063492,2.650794,1.412698
潍坊工商职业学院,101,0.70297,1.148515,1.237624
济南工程职业技术学院,89,2.044944,3.685393,1.550562
山东药品食品职业学院,80,0.0,0.0,0.0
山东司法警官职业学院,478,0.41841,5.324268,2.175732
济南幼儿师范高等专科学校,160,1.36875,3.66875,1.46875
潍坊工程职业学院,183,1.234973,0.978142,1.639344
河南工业大学,2464,9.771916,16.416802,9.651786
南阳师范学院,570,3.101754,6.577193,3.301754
新乡学院,1520,5.801974,5.971711,3.782895
安阳师范学院人文管理学院,546,5.012821,7.943223,2.28022
开封大学,369,5.747967,3.934959,1.823848
河南经贸职业学院,15,0.0,0.0,0.0
武昌理工学院,187,6.15508,11.518717,14.165775
江汉大学文理学院,114,1.342105,5.236842,2.666667
武汉体育学院体育科技学院,79,1.126582,3.113924,2.278481
武汉理工大学华夏学院,639,2.841941,9.028169,3.298905
襄阳职业技术学院,179,1.011173,3.01676,2.01676
武汉电力职业技术学院,45,0.177778,1.622222,0.955556
武昌职业学院,184,5.25,9.125,6.206522
湖北科技职业学院,324,0.419753,1.845679,1.533951
湖南科技大学,586,8.665529,14.40273,6.595563
衡阳师范学院,531,6.092279,15.781544,10.079096
湖南警察学院,223,3.565022,8.35426,5.556054
湖南农业大学东方科技学院,60,1.466667,2.416667,1.65
长沙理工大学城南学院,287,1.620209,3.961672,1.780488
长沙航空职业技术学院,137,2.007299,3.948905,2.846715
湖南网络工程职业学院,63,0.857143,1.15873,1.206349
娄底职业技术学院,72,1.055556,2.819444,2.0
湖南化工职业技术学院,27,0.777778,5.185185,4.074074
邵阳医学高等专科学校,53,0.716981,1.075472,1.622642
长沙电力职业技术学院,24,1.416667,1.791667,0.875
广东邮电职业技术学院,66,1.136364,2.151515,1.045455
广东工贸职业技术学院,132,1.583333,3.636364,2.060606
广州体育职业技术学院,89,0.438202,1.101124,1.089888
广州涉外经济职业技术学院,53,1.264151,3.358491,1.754717
肇庆医学高等专科学校,92,2.706522,3.695652,3.076087
广东工程职业技术学院,102,0.833333,3.382353,2.696078
广州科技贸易职业学院,85,2.0,2.458824,1.4
东莞职业技术学院,102,34.735294,4.215686,6.676471
广州东华职业学院,84,2.261905,0.857143,6.583333
广东碧桂园职业学院,46,0.369565,0.652174,0.130435
桂林理工大学,643,4.076205,10.48056,4.684292
广西师范学院,33,0.0,0.0,0.0
广西财经学院,764,5.760471,22.706806,6.947644
广西大学行健文理学院,516,2.131783,3.532946,2.056202
广西外国语学院,200,0.0,0.0,0.0
广西工业职业技术学院,195,0.74359,2.830769,1.446154
广西工商职业技术学院,193,3.025907,10.860104,10.663212
广西幼儿师范高等专科学校,415,2.024096,5.428916,2.342169
三亚学院,612,4.503268,5.972222,5.094771
三亚理工职业学院,73,2.424658,0.794521,2.561644
重庆师范大学,946,23.327696,72.445032,33.012685
四川美术学院,967,13.440538,21.82213,8.370217
重庆师范大学涉外商贸学院,290,1.548276,5.844828,2.003448
重庆信息技术职业学院,186,0.252688,0.962366,0.252688
重庆三峡医药高等专科学校,124,2.717742,7.112903,2.669355
重庆化工职业学院,48,0.5,1.125,0.708333
重庆轻工职业学院,260,0.184615,2.615385,0.792308
成都信息工程大学,1408,5.113636,5.893466,5.142045
内江师范学院,63,0.0,0.0,0.0
遵义师范学院,372,7.973118,15.188172,8.462366
黔南民族师范学院,192,0.75,3.489583,1.359375
贵州大学科技学院,266,2.988722,7.552632,2.590226
黔南民族医学高等专科学校,87,0.0,0.0,0.0
安顺职业技术学院,229,15.816594,29.925764,27.200873
贵州电力职业技术学院,9,0.333333,3.333333,1.0
六盘水职业技术学院,27,1.037037,0.962963,1.111111
遵义医药高等专科学校,145,0.944828,3.682759,1.57931
贵阳幼儿师范高等专科学校,119,3.033613,3.97479,1.428571
西南林业大学,144,0.0,0.0,0.0
昭通学院,269,14.364312,55.223048,50.215613
保山学院,187,0.240642,2.983957,2.390374
玉溪师范学院,466,1.328326,3.487124,1.506438
昆明理工大学津桥学院,270,1.892593,5.7,2.255556
云南交通职业技术学院,453,1.220751,3.713024,2.92936
云南热带作物职业学院,80,0.6,1.15,0.1125
保山中医药高等专科学校,24,0.291667,0.666667,0.333333
德宏职业学院,118,0.813559,1.949153,0.550847
拉萨师范高等专科学校,54,1.62963,1.648148,0.555556
西安电子科技大学,1144,37.237762,36.706294,22.156469
西北农林科技大学,1379,13.010152,77.675127,10.069616
西安音乐学院,676,4.007396,19.872781,5.945266
西安欧亚学院,889,6.07874,17.952756,10.998875
西安财经学院行知学院,185,2.0,4.8,7.172973
西安电力高等专科学校,4,23.5,23.25,19.5
陕西国防工业职业技术学院,117,2.760684,8.153846,2.504274
宝鸡职业技术学院,188,5.558511,6.430851,7.446809
西安职业技术学院,16,0.375,1.6875,0.9375
铜川职业技术学院,71,2.760563,2.464789,1.0
兰州交通大学,680,9.560294,14.466176,11.052941
天水师范学院,505,2.532673,4.877228,2.312871
兰州工业学院,385,3.657143,6.714286,8.966234
兰州石化职业技术学院,159,1.855346,3.761006,1.415094
酒泉职业技术学院,136,1.588235,1.808824,1.301471
甘肃工业职业技术学院,85,1.211765,3.823529,0.905882
甘肃机电职业技术学院,40,1.4,0.4,0.275
白银矿冶职业技术学院,27,0.888889,0.62963,0.518519
临夏现代职业学院,1069,0.014032,0.98971,0.023386
北京航空航天大学,1005,12.354229,19.541294,9.108458
北方工业大学,29,9.37931,4.37931,2.862069
北京邮电大学,16,21.0,7.3125,18.625
中国农业大学,17,40.176471,7.941176,20.764706
首都师范大学,15,4.066667,4.866667,2.8
中央财经大学,20,35.3,7.8,10.75
中国人民公安大学,679,35.805596,21.896907,15.256259
中国音乐学院,22,19.136364,15.409091,11.318182
中央民族大学,25,10.0,64.96,11.12
中国石油大学北京,9,3.888889,1.666667,2.666667
中国劳动关系学院,16,1.1875,1.1875,0.9375
北京警察学院,14,9.142857,5.428571,6.071429
北京京北职业技术学院,26,1.538462,1.038462,1.423077
北京财贸职业学院,208,2.293269,11.725962,2.019231
北京科技职业学院,30,0.166667,0.6,0.9
北京艺术传媒职业学院,14,0.357143,0.214286,0.5
南开大学,12,33.583333,13.666667,8.666667
天津农学院,16,1.875,0.625,1.125
天津外国语大学,12,16.416667,1.916667,5.166667
天津天狮学院,30,0.033333,0.166667,1.966667
天津商业大学宝德学院,11,0.0,0.0,1.545455
天津大学仁爱学院,210,3.190476,3.814286,2.747619
天津渤海职业技术学院,81,1.037037,0.259259,1.555556
天津商务职业学院,15,1.2,0.0,3.133333
天津冶金职业技术学院,10,0.8,0.0,0.5
天津广播影视职业学院,2,0.0,0.0,0.0
河北科技大学,20,0.6,0.0,0.65
承德医学院,494,7.967611,46.823887,7.619433
唐山师范学院,11,1.454545,3.090909,1.727273
邢台学院,18,1.944444,2.5,2.555556
燕山大学,15,15.533333,2.0,2.733333
河北体育学院,9,1.0,1.0,2.333333
中央司法警官学院,8,0.125,4.75,4.375
河北美术学院,26,3.038462,4.346154,5.5
河北师范大学汇华学院,1412,0.744334,3.463173,0.883853
太原学院,827,1.291415,7.788392,2.102781
山西财经大学华商学院,8,0.0,1.75,0.75
山西传媒学院,15,7.066667,5.266667,4.0
山西建筑职业技术学院,167,0.0,0.0,0.0
太原城市职业技术学院,47,0.0,0.0,0.0
山西体育职业学院,59,0.711864,0.457627,0.830508
山西青年职业学院,217,0.612903,3.806452,1.036866
吕梁职业技术学院,3,0.333333,0.0,1.333333
内蒙古工业大学,14,0.285714,0.0,0.642857
内蒙古医科大学,551,1.800363,4.662432,2.210526
内蒙古财经大学,15,81.333333,273.866667,248.4
呼和浩特民族学院,10,0.1,1.3,0.7
内蒙古艺术学院,35,1.342857,0.828571,0.742857
内蒙古丰州职业学院,20,0.25,0.25,0.2
内蒙古交通职业技术学院,92,1.684783,1.347826,0.663043
乌海职业技术学院,36,2.638889,0.277778,2.777778
内蒙古科技职业学院,1,2.0,0.0,2.0
赤峰职业技术学院,7,0.714286,0.0,0.571429
内蒙古经贸外语职业学院,9,0.0,0.111111,0.111111
包头铁道职业技术学院,1,0.0,0.0,0.0
内蒙古美术职业学院,9,0.444444,0.444444,0.222222
鄂尔多斯生态环境职业学院,30,3.1,0.633333,0.766667
辽宁大学,8,2.125,0.0,2.75
沈阳工业大学,9,1.666667,0.0,1.555556
辽宁科技大学,858,2.668998,6.431235,3.744755
沈阳农业大学,10,1.7,3.1,2.6
辽宁中医药大学,10,0.9,6.6,2.2
沈阳医学院,14,1.714286,3.857143,1.857143
大连外国语大学,19,17.631579,8.842105,9.842105
鲁迅美术学院,24,3.416667,2.458333,1.75
辽宁警察学院,187,1.957219,14.780749,3.86631
沈阳工业大学工程学院,57,0.385965,0.035088,0.736842
吉林铁道职业技术学院,109,8.073394,18.394495,16.431193
吉林城市职业技术学院,1,0.0,0.0,0.0
哈尔滨理工大学,17,0.0,0.0,1.470588
佳木斯大学,11,0.363636,0.0,3.363636
东北农业大学,15,1.466667,0.0,1.466667
黑龙江中医药大学,11,0.363636,0.0,1.818182
齐齐哈尔大学,12,0.25,0.0,1.416667
大庆师范学院,26,0.0,0.0,0.0
黑河学院,706,0.518414,2.78187,1.705382
大庆职业学院,52,0.019231,0.0,0.403846
黑龙江农垦职业学院,2,0.0,0.0,0.0
哈尔滨电力职业技术学院,1,0.0,1.0,1.0
黑龙江幼儿师范高等专科学校,64,0.421875,0.375,0.765625
佳木斯职业学院,57,0.438596,0.77193,0.192982
上海理工大学,779,6.419769,23.78819,6.274711
上海电力学院,27,4.222222,2.62963,2.333333
华东师范大学,17,27.823529,20.411765,10.529412
上海海关学院,16,25.875,8.875,7.0625
上海体育学院,23,7.434783,2.913043,5.217391
上海立信会计学院,29,64.275862,18.758621,32.448276
上海政法学院,21,14.095238,2.619048,4.380952
上海视觉艺术学院,718,12.541783,73.150418,12.94429
上海工商职业技术学院,1,3.0,1.0,1.0
上海电子信息职业技术学院,30,0.333333,0.1,0.333333
上海欧华职业技术学院,37,0.108108,0.0,1.756757
上海工商外国语职业学院,14,0.0,0.0,0.785714
上海电影艺术职业学院,24,0.416667,0.083333,1.291667
南京航空航天大学,921,28.80456,111.87405,34.163952
南京邮电大学,8,4.625,3.5,5.0
南京信息工程大学,18,22.888889,109.333333,28.611111
南京农业大学,14,11.071429,7.428571,3.642857
中国药科大学,18,23.0,13.333333,9.666667
盐城师范学院,30,0.966667,1.4,0.7
南京艺术学院,1369,25.634039,83.766253,23.059898
南京审计学院,34,9.676471,8.735294,5.029412
徐州工程学院,15,1.2,0.666667,0.4
南通理工学院,18,0.222222,1.055556,0.388889
无锡太湖学院,22,1.409091,0.681818,1.363636
南京大学金陵学院,12,1.833333,1.166667,2.416667
南京理工大学泰州科技学院,17,1.0,0.647059,0.352941
南京医科大学康达学院,204,1.720588,1.421569,1.872549
江苏大学京江学院,21,0.0,0.0,4.428571
苏州职业大学,64,0.328125,1.546875,1.25
扬州市职业大学,9,0.111111,1.333333,0.444444
泰州职业技术学院,21,0.285714,0.904762,0.714286
应天职业技术学院,17,0.764706,0.117647,1.588235
苏州卫生职业技术学院,42,2.0,0.095238,3.642857
无锡商业职业技术学院,13,0.846154,0.076923,0.769231
淮安信息职业技术学院,14,0.357143,0.0,2.0
苏州农业职业技术学院,102,0.490196,1.852941,0.656863
苏州工业园区职业技术学院,34,1.705882,0.941176,1.029412
太湖创意职业技术学院,25,0.92,0.12,1.56
江苏财会职业学院,1319,0.066717,2.150114,3.012889
金华职业技术学院,494,3.665992,12.32996,3.55668
浙江机电职业技术学院,7,1.0,1.285714,0.142857
浙江商业职业技术学院,7,0.0,1.285714,0.285714
浙江金融职业学院,16,0.4375,2.1875,0.6875
绍兴职业技术学院,7,2.142857,2.857143,0.857143
义乌工商职业技术学院,34,0.147059,0.264706,0.176471
嘉兴南洋职业技术学院,6,2.666667,0.666667,2.0
温州科技职业学院,40,1.225,1.5,1.0
中国科学技术大学,17,77.411765,8.058824,27.235294
安徽工程大学,598,1.906355,6.924749,2.148829
泉州工艺美术职业学院,53,0.830189,1.735849,0.754717
厦门软件职业技术学院,77,2.467532,2.714286,3.441558
泉州轻工职业学院,70,29.985714,6.485714,15.042857
江西中医药大学,873,2.564719,8.334479,1.864834
江西科技师范大学,770,5.357143,6.44026,7.150649
江西服装学院,598,3.240803,6.720736,3.135452
江西科技师范大学理工学院,261,1.111111,1.605364,1.835249
江西司法警官职业学院,94,2.723404,7.361702,3.670213
江西信息应用职业技术学院,102,0.352941,0.95098,0.264706
南昌职业学院,259,1.061776,3.050193,2.200772
江西制造职业技术学院,70,0.442857,4.642857,2.414286
江西枫林涉外经贸职业学院,25,0.0,0.6,0.48
赣州师范高等专科学校,391,0.626598,2.930946,1.074169
青岛科技大学,728,3.618132,7.381868,3.991758
山东科技大学泰山科技学院,73,1.39726,2.739726,0.630137
齐鲁工业大学,710,7.383099,17.067606,7.688732
泰山医学院,577,32.627383,110.103986,25.902946
山东师范大学,1578,33.702788,204.363752,24.940431
菏泽学院,377,1.809019,5.557029,2.453581
青岛滨海学院,1271,1.88749,3.896145,1.630212
山东女子学院,694,7.5,32.85879,12.815562
齐鲁理工学院,515,0.986408,2.780583,1.617476
山东医学高等专科学校,107,1.934579,7.635514,3.280374
曲阜远东职业技术学院,39,0.666667,0.615385,1.0
潍坊职业学院,225,0.791111,3.044444,2.435556
山东圣翰财贸职业学院,79,0.227848,1.43038,0.886076
山东外贸职业学院,172,1.430233,14.401163,2.226744
青岛求实职业技术学院,130,1.923077,1.023077,1.561538
德州职业技术学院,139,1.057554,1.863309,1.014388
山东铝业职业学院,26,1.307692,3.038462,1.461538
山东商务职业学院,606,1.930693,4.636964,2.975248
山东理工职业学院,91,2.098901,4.241758,4.351648
泰山护理职业学院,781,1.300896,3.322663,0.546735
郑州大学,4762,62.00294,178.50126,30.668837
郑州航空工业管理学院,711,11.476793,28.223629,19.219409
南阳理工学院,1037,3.934426,5.691418,4.996143
黄河交通学院,261,21.678161,7.582375,14.551724
商丘学院,482,7.605809,20.778008,6.985477
许昌职业技术学院,236,2.355932,5.733051,3.15678
河南质量工程职业学院,90,0.944444,3.455556,1.177778
嵩山少林武术职业学院,44,1.795455,4.954545,1.568182
郑州旅游职业学院,100,1.21,4.46,3.42
安阳职业技术学院,170,0.776471,1.588235,0.723529
许昌电气职业学院,88,0.931818,2.045455,1.125
安阳幼儿师范高等专科学校,59,1.271186,2.338983,1.033898
长江大学,872,4.706422,25.454128,6.494266
湖北师范学院,2015,3.101737,9.500248,1.598015
湖北汽车工业学院,433,11.26097,26.986143,7.057737
湖北经济学院,922,9.780911,13.924078,11.056399
武汉工程大学邮电与信息工程学院,50,4.66,13.74,5.82
湖北民族学院科技学院,90,1.633333,5.788889,2.044444
华中师范大学武汉传媒学院,342,3.400585,15.494152,6.511696
武汉船舶职业技术学院,102,1.568627,7.04902,3.392157
武汉软件工程职业学院,235,1.757447,3.089362,1.476596
武汉交通职业学院,323,1.80805,5.619195,2.179567
三峡旅游职业技术学院,86,1.0,1.337209,2.05814
湖南中医药大学,392,13.395408,19.260204,11.635204
怀化学院,453,2.931567,7.313466,2.969095
湖南女子学院,543,10.495396,50.046041,12.589319
衡阳师范学院南岳学院,49,1.897959,8.306122,2.55102
湖南工业职业技术学院,138,2.471014,4.688406,2.833333
湖南商务职业技术学院,168,0.577381,4.291667,1.791667
长沙商贸旅游职业技术学院,89,0.550562,2.685393,1.179775
长沙职业技术学院,257,0.747082,1.669261,0.894942
湖南石油化工职业技术学院,58,0.0,0.0,0.0
湖南水利水电职业技术学院,38,0.368421,1.368421,0.473684
湖南电子科技职业学院,25,1.56,4.76,4.48
湖南三一工业职业技术学院,19,0.684211,0.105263,0.789474
湘南幼儿师范高等专科学校,47,0.404255,3.042553,1.93617
华南农业大学,941,30.007439,50.065887,33.239107
广东药学院,290,29.206897,20.393103,26.258621
肇庆学院,572,2.881119,6.594406,3.666084
广东技术师范学院,288,7.635417,17.0,10.020833
广东警官学院,147,3.619048,3.591837,4.156463
东莞理工学院,394,17.441624,40.472081,19.050761
中山大学南方学院,309,5.983819,10.582524,7.265372
北京师范大学珠海分校,265,4.332075,12.233962,6.973585
广东理工学院,405,0.945679,2.474074,2.037037
广东交通职业技术学院,171,0.0,0.0,0.0
广东松山职业技术学院,132,1.333333,2.166667,0.954545
广州康大职业技术学院,81,0.679012,1.407407,0.703704
广东女子职业技术学院,43,0.0,0.0,0.0
